"","P","n","parameter","data_size"
"1773",0.1,9,"bayesian-n",100
"1774",0.1,9,"bayesian-n",100
"1775",0.1,9,"bayesian-n",100
"1776",0.1,9,"bayesian-n",100
"1777",0.1,9,"bayesian-n",100
"1778",0.1,9,"bayesian-n",100
"1779",0.1,9,"bayesian-n",100
"1780",0.1,10,"bayesian-n",100
"1781",0.1,10,"bayesian-n",100
"1782",0.1,10,"bayesian-n",100
"1783",0.1,9,"bayesian-n",100
"1784",0.1,9,"bayesian-n",100
"1785",0.1,9,"bayesian-n",100
"1786",0.1,10,"bayesian-n",100
"1787",0.1,11,"bayesian-n",100
"1788",0.1,10,"bayesian-n",100
"1789",0.1,10,"bayesian-n",100
"1790",0.1,11,"bayesian-n",100
"1791",0.1,10,"bayesian-n",100
"1792",0.1,10,"bayesian-n",100
"1793",0.1,8,"bayesian-n",100
"1794",0.1,11,"bayesian-n",100
"1795",0.1,11,"bayesian-n",100
"1796",0.1,8,"bayesian-n",100
"1797",0.1,9,"bayesian-n",100
"1798",0.1,10,"bayesian-n",100
"1799",0.1,10,"bayesian-n",100
"1800",0.1,10,"bayesian-n",100
"1801",0.1,9,"bayesian-n",100
"1802",0.2,9,"fiducial-n",10
"1803",0.2,17,"fiducial-n",10
"1804",0.2,9,"fiducial-n",10
"1805",0.2,8,"fiducial-n",10
"1806",0.2,11,"fiducial-n",10
"1807",0.2,12,"fiducial-n",10
"1808",0.2,12,"fiducial-n",10
"1809",0.2,13,"fiducial-n",10
"1810",0.2,10,"fiducial-n",10
"1811",0.2,11,"fiducial-n",10
"1812",0.2,10,"fiducial-n",10
"1813",0.2,12,"fiducial-n",10
"1814",0.2,8,"fiducial-n",10
"1815",0.2,10,"fiducial-n",10
"1816",0.2,10,"fiducial-n",10
"1817",0.2,11,"fiducial-n",10
"1818",0.2,13,"fiducial-n",10
"1819",0.2,8,"fiducial-n",10
"1820",0.2,9,"fiducial-n",10
"1821",0.2,8,"fiducial-n",10
"1822",0.2,7,"fiducial-n",10
"1823",0.2,11,"fiducial-n",10
"1824",0.2,10,"fiducial-n",10
"1825",0.2,12,"fiducial-n",10
"1826",0.2,8,"fiducial-n",10
"1827",0.2,10,"fiducial-n",10
"1828",0.2,10,"fiducial-n",10
"1829",0.2,9,"fiducial-n",10
"1830",0.2,12,"fiducial-n",10
"1831",0.2,12,"fiducial-n",10
"1832",0.2,8,"fiducial-n",10
"1833",0.2,9,"fiducial-n",10
"1834",0.2,13,"fiducial-n",10
"1835",0.2,9,"fiducial-n",10
"1836",0.2,12,"fiducial-n",10
"1837",0.2,9,"fiducial-n",10
"1838",0.2,11,"fiducial-n",10
"1839",0.2,10,"fiducial-n",10
"1840",0.2,9,"fiducial-n",10
"1841",0.2,9,"fiducial-n",10
"1842",0.2,10,"fiducial-n",10
"1843",0.2,9,"fiducial-n",10
"1844",0.2,10,"fiducial-n",10
"1845",0.2,11,"fiducial-n",10
"1846",0.2,13,"fiducial-n",10
"1847",0.2,10,"fiducial-n",10
"1848",0.2,10,"fiducial-n",10
"1849",0.2,12,"fiducial-n",10
"1850",0.2,11,"fiducial-n",10
"1851",0.2,11,"fiducial-n",10
"1852",0.2,9,"fiducial-n",10
"1853",0.2,10,"fiducial-n",10
"1854",0.2,12,"fiducial-n",10
"1855",0.2,11,"fiducial-n",10
"1856",0.2,11,"fiducial-n",10
"1857",0.2,6,"fiducial-n",10
"1858",0.2,12,"fiducial-n",10
"1859",0.2,8,"fiducial-n",10
"1860",0.2,10,"fiducial-n",10
"1861",0.2,8,"fiducial-n",10
"1862",0.2,13,"fiducial-n",10
"1863",0.2,10,"fiducial-n",10
"1864",0.2,9,"fiducial-n",10
"1865",0.2,10,"fiducial-n",10
"1866",0.2,11,"fiducial-n",10
"1867",0.2,10,"fiducial-n",10
"1868",0.2,13,"fiducial-n",10
"1869",0.2,14,"fiducial-n",10
"1870",0.2,14,"fiducial-n",10
"1871",0.2,11,"fiducial-n",10
"1872",0.2,12,"fiducial-n",10
"1873",0.2,8,"fiducial-n",10
"1874",0.2,11,"fiducial-n",10
"1875",0.2,10,"fiducial-n",10
"1876",0.2,13,"fiducial-n",10
"1877",0.2,10,"fiducial-n",10
"1878",0.2,10,"fiducial-n",10
"1879",0.2,9,"fiducial-n",10
"1880",0.2,12,"fiducial-n",10
"1881",0.2,9,"fiducial-n",10
"1882",0.2,13,"fiducial-n",10
"1883",0.2,9,"fiducial-n",10
"1884",0.2,9,"fiducial-n",10
"1885",0.2,12,"fiducial-n",10
"1886",0.2,10,"fiducial-n",10
"1887",0.2,9,"fiducial-n",10
"1888",0.2,8,"fiducial-n",10
"1889",0.2,10,"fiducial-n",10
"1890",0.2,9,"fiducial-n",10
"1891",0.2,11,"fiducial-n",10
"1892",0.2,12,"fiducial-n",10
"1893",0.2,9,"fiducial-n",10
"1894",0.2,13,"fiducial-n",10
"1895",0.2,12,"fiducial-n",10
"1896",0.2,9,"fiducial-n",10
"1897",0.2,11,"fiducial-n",10
"1898",0.2,9,"fiducial-n",10
"1899",0.2,10,"fiducial-n",10
"1900",0.2,8,"fiducial-n",10
"1901",0.2,9,"fiducial-n",10
"1902",0.2,16,"bayesian-n",10
"1903",0.2,8,"bayesian-n",10
"1904",0.2,15,"bayesian-n",10
"1905",0.2,12,"bayesian-n",10
"1906",0.2,12,"bayesian-n",10
"1907",0.2,9,"bayesian-n",10
"1908",0.2,11,"bayesian-n",10
"1909",0.2,11,"bayesian-n",10
"1910",0.2,14,"bayesian-n",10
"1911",0.2,11,"bayesian-n",10
"1912",0.2,10,"bayesian-n",10
"1913",0.2,10,"bayesian-n",10
"1914",0.2,11,"bayesian-n",10
"1915",0.2,10,"bayesian-n",10
"1916",0.2,11,"bayesian-n",10
"1917",0.2,15,"bayesian-n",10
"1918",0.2,9,"bayesian-n",10
"1919",0.2,10,"bayesian-n",10
"1920",0.2,6,"bayesian-n",10
"1921",0.2,8,"bayesian-n",10
"1922",0.2,10,"bayesian-n",10
"1923",0.2,11,"bayesian-n",10
"1924",0.2,8,"bayesian-n",10
"1925",0.2,11,"bayesian-n",10
"1926",0.2,8,"bayesian-n",10
"1927",0.2,8,"bayesian-n",10
"1928",0.2,15,"bayesian-n",10
"1929",0.2,8,"bayesian-n",10
"1930",0.2,8,"bayesian-n",10
"1931",0.2,10,"bayesian-n",10
"1932",0.2,11,"bayesian-n",10
"1933",0.2,7,"bayesian-n",10
"1934",0.2,7,"bayesian-n",10
"1935",0.2,11,"bayesian-n",10
"1936",0.2,10,"bayesian-n",10
"1937",0.2,11,"bayesian-n",10
"1938",0.2,10,"bayesian-n",10
"1939",0.2,9,"bayesian-n",10
"1940",0.2,15,"bayesian-n",10
"1941",0.2,14,"bayesian-n",10
"1942",0.2,12,"bayesian-n",10
"1943",0.2,13,"bayesian-n",10
"1944",0.2,11,"bayesian-n",10
"1945",0.2,10,"bayesian-n",10
"1946",0.2,9,"bayesian-n",10
"1947",0.2,10,"bayesian-n",10
"1948",0.2,12,"bayesian-n",10
"1949",0.2,13,"bayesian-n",10
"1950",0.2,11,"bayesian-n",10
"1951",0.2,11,"bayesian-n",10
"1952",0.2,15,"bayesian-n",10
"1953",0.2,10,"bayesian-n",10
"1954",0.2,10,"bayesian-n",10
"1955",0.2,10,"bayesian-n",10
"1956",0.2,10,"bayesian-n",10
"1957",0.2,12,"bayesian-n",10
"1958",0.2,10,"bayesian-n",10
"1959",0.2,10,"bayesian-n",10
"1960",0.2,10,"bayesian-n",10
"1961",0.2,9,"bayesian-n",10
"1962",0.2,9,"bayesian-n",10
"1963",0.2,7,"bayesian-n",10
"1964",0.2,13,"bayesian-n",10
"1965",0.2,13,"bayesian-n",10
"1966",0.2,10,"bayesian-n",10
"1967",0.2,12,"bayesian-n",10
"1968",0.2,10,"bayesian-n",10
"1969",0.2,16,"bayesian-n",10
"1970",0.2,8,"bayesian-n",10
"1971",0.2,10,"bayesian-n",10
"1972",0.2,9,"bayesian-n",10
"1973",0.2,10,"bayesian-n",10
"1974",0.2,15,"bayesian-n",10
"1975",0.2,9,"bayesian-n",10
"1976",0.2,8,"bayesian-n",10
"1977",0.2,11,"bayesian-n",10
"1978",0.2,15,"bayesian-n",10
"1979",0.2,9,"bayesian-n",10
"1980",0.2,13,"bayesian-n",10
"1981",0.2,12,"bayesian-n",10
"1982",0.2,15,"bayesian-n",10
"1983",0.2,9,"bayesian-n",10
"1984",0.2,11,"bayesian-n",10
"1985",0.2,11,"bayesian-n",10
"1986",0.2,12,"bayesian-n",10
"1987",0.2,9,"bayesian-n",10
"1988",0.2,10,"bayesian-n",10
"1989",0.2,8,"bayesian-n",10
"1990",0.2,12,"bayesian-n",10
"1991",0.2,10,"bayesian-n",10
"1992",0.2,12,"bayesian-n",10
"1993",0.2,11,"bayesian-n",10
"1994",0.2,8,"bayesian-n",10
"1995",0.2,9,"bayesian-n",10
"1996",0.2,11,"bayesian-n",10
"1997",0.2,12,"bayesian-n",10
"1998",0.2,12,"bayesian-n",10
"1999",0.2,10,"bayesian-n",10
"2000",0.2,11,"bayesian-n",10
"2001",0.2,11,"bayesian-n",10
"2002",0.2,10,"fiducial-n",50
"2003",0.2,11,"fiducial-n",50
"2004",0.2,12,"fiducial-n",50
"2005",0.2,11,"fiducial-n",50
"2006",0.2,10,"fiducial-n",50
"2007",0.2,11,"fiducial-n",50
"2008",0.2,12,"fiducial-n",50
"2009",0.2,9,"fiducial-n",50
"2010",0.2,10,"fiducial-n",50
"2011",0.2,9,"fiducial-n",50
"2012",0.2,12,"fiducial-n",50
"2013",0.2,11,"fiducial-n",50
"2014",0.2,10,"fiducial-n",50
"2015",0.2,11,"fiducial-n",50
"2016",0.2,12,"fiducial-n",50
"2017",0.2,9,"fiducial-n",50
"2018",0.2,10,"fiducial-n",50
"2019",0.2,10,"fiducial-n",50
"2020",0.2,11,"fiducial-n",50
"2021",0.2,12,"fiducial-n",50
"2022",0.2,10,"fiducial-n",50
"2023",0.2,11,"fiducial-n",50
"2024",0.2,11,"fiducial-n",50
"2025",0.2,11,"fiducial-n",50
"2026",0.2,10,"fiducial-n",50
"2027",0.2,11,"fiducial-n",50
"2028",0.2,11,"fiducial-n",50
"2029",0.2,11,"fiducial-n",50
"2030",0.2,11,"fiducial-n",50
"2031",0.2,10,"fiducial-n",50
"2032",0.2,10,"fiducial-n",50
"2033",0.2,10,"fiducial-n",50
"2034",0.2,11,"fiducial-n",50
"2035",0.2,9,"fiducial-n",50
"2036",0.2,11,"fiducial-n",50
"2037",0.2,11,"fiducial-n",50
"2038",0.2,10,"fiducial-n",50
"2039",0.2,9,"fiducial-n",50
"2040",0.2,12,"fiducial-n",50
"2041",0.2,9,"fiducial-n",50
"2042",0.2,11,"fiducial-n",50
"2043",0.2,11,"fiducial-n",50
"2044",0.2,10,"fiducial-n",50
"2045",0.2,12,"fiducial-n",50
"2046",0.2,11,"fiducial-n",50
"2047",0.2,10,"fiducial-n",50
"2048",0.2,10,"fiducial-n",50
"2049",0.2,10,"fiducial-n",50
"2050",0.2,9,"fiducial-n",50
"2051",0.2,11,"fiducial-n",50
"2052",0.2,11,"fiducial-n",50
"2053",0.2,10,"fiducial-n",50
"2054",0.2,11,"fiducial-n",50
"2055",0.2,11,"fiducial-n",50
"2056",0.2,10,"fiducial-n",50
"2057",0.2,11,"fiducial-n",50
"2058",0.2,11,"fiducial-n",50
"2059",0.2,10,"fiducial-n",50
"2060",0.2,10,"fiducial-n",50
"2061",0.2,11,"fiducial-n",50
"2062",0.2,11,"fiducial-n",50
"2063",0.2,11,"fiducial-n",50
"2064",0.2,10,"fiducial-n",50
"2065",0.2,9,"fiducial-n",50
"2066",0.2,10,"fiducial-n",50
"2067",0.2,9,"fiducial-n",50
"2068",0.2,11,"fiducial-n",50
"2069",0.2,11,"fiducial-n",50
"2070",0.2,10,"fiducial-n",50
"2071",0.2,9,"fiducial-n",50
"2072",0.2,10,"fiducial-n",50
"2073",0.2,11,"fiducial-n",50
"2074",0.2,9,"fiducial-n",50
"2075",0.2,11,"fiducial-n",50
"2076",0.2,11,"fiducial-n",50
"2077",0.2,11,"fiducial-n",50
"2078",0.2,11,"fiducial-n",50
"2079",0.2,11,"fiducial-n",50
"2080",0.2,10,"fiducial-n",50
"2081",0.2,11,"fiducial-n",50
"2082",0.2,10,"fiducial-n",50
"2083",0.2,10,"fiducial-n",50
"2084",0.2,10,"fiducial-n",50
"2085",0.2,11,"fiducial-n",50
"2086",0.2,9,"fiducial-n",50
"2087",0.2,9,"fiducial-n",50
"2088",0.2,12,"fiducial-n",50
"2089",0.2,10,"fiducial-n",50
"2090",0.2,11,"fiducial-n",50
"2091",0.2,11,"fiducial-n",50
"2092",0.2,11,"fiducial-n",50
"2093",0.2,10,"fiducial-n",50
"2094",0.2,10,"fiducial-n",50
"2095",0.2,10,"fiducial-n",50
"2096",0.2,9,"fiducial-n",50
"2097",0.2,11,"fiducial-n",50
"2098",0.2,9,"fiducial-n",50
"2099",0.2,10,"fiducial-n",50
"2100",0.2,10,"fiducial-n",50
"2101",0.2,11,"fiducial-n",50
"2102",0.2,9,"bayesian-n",50
"2103",0.2,11,"bayesian-n",50
"2104",0.2,9,"bayesian-n",50
"2105",0.2,10,"bayesian-n",50
"2106",0.2,10,"bayesian-n",50
"2107",0.2,9,"bayesian-n",50
"2108",0.2,9,"bayesian-n",50
"2109",0.2,9,"bayesian-n",50
"2110",0.2,11,"bayesian-n",50
"2111",0.2,11,"bayesian-n",50
"2112",0.2,10,"bayesian-n",50
"2113",0.2,11,"bayesian-n",50
"2114",0.2,10,"bayesian-n",50
"2115",0.2,9,"bayesian-n",50
"2116",0.2,10,"bayesian-n",50
"2117",0.2,11,"bayesian-n",50
"2118",0.2,9,"bayesian-n",50
"2119",0.2,9,"bayesian-n",50
"2120",0.2,10,"bayesian-n",50
"2121",0.2,10,"bayesian-n",50
"2122",0.2,12,"bayesian-n",50
"2123",0.2,11,"bayesian-n",50
"2124",0.2,11,"bayesian-n",50
"2125",0.2,11,"bayesian-n",50
"2126",0.2,10,"bayesian-n",50
"2127",0.2,10,"bayesian-n",50
"2128",0.2,10,"bayesian-n",50
"2129",0.2,11,"bayesian-n",50
"2130",0.2,9,"bayesian-n",50
"2131",0.2,10,"bayesian-n",50
"2132",0.2,10,"bayesian-n",50
"2133",0.2,10,"bayesian-n",50
"2134",0.2,9,"bayesian-n",50
"2135",0.2,9,"bayesian-n",50
"2136",0.2,10,"bayesian-n",50
"2137",0.2,10,"bayesian-n",50
"2138",0.2,10,"bayesian-n",50
"2139",0.2,11,"bayesian-n",50
"2140",0.2,10,"bayesian-n",50
"2141",0.2,10,"bayesian-n",50
"2142",0.2,10,"bayesian-n",50
"2143",0.2,9,"bayesian-n",50
"2144",0.2,13,"bayesian-n",50
"2145",0.2,10,"bayesian-n",50
"2146",0.2,12,"bayesian-n",50
"2147",0.2,10,"bayesian-n",50
"2148",0.2,11,"bayesian-n",50
"2149",0.2,10,"bayesian-n",50
"2150",0.2,11,"bayesian-n",50
"2151",0.2,10,"bayesian-n",50
"2152",0.2,10,"bayesian-n",50
"2153",0.2,11,"bayesian-n",50
"2154",0.2,9,"bayesian-n",50
"2155",0.2,9,"bayesian-n",50
"2156",0.2,10,"bayesian-n",50
"2157",0.2,10,"bayesian-n",50
"2158",0.2,10,"bayesian-n",50
"2159",0.2,11,"bayesian-n",50
"2160",0.2,12,"bayesian-n",50
"2161",0.2,10,"bayesian-n",50
"2162",0.2,10,"bayesian-n",50
"2163",0.2,12,"bayesian-n",50
"2164",0.2,9,"bayesian-n",50
"2165",0.2,12,"bayesian-n",50
"2166",0.2,11,"bayesian-n",50
"2167",0.2,12,"bayesian-n",50
"2168",0.2,10,"bayesian-n",50
"2169",0.2,10,"bayesian-n",50
"2170",0.2,11,"bayesian-n",50
"2171",0.2,11,"bayesian-n",50
"2172",0.2,11,"bayesian-n",50
"2173",0.2,9,"bayesian-n",50
"2174",0.2,11,"bayesian-n",50
"2175",0.2,11,"bayesian-n",50
"2176",0.2,10,"bayesian-n",50
"2177",0.2,12,"bayesian-n",50
"2178",0.2,11,"bayesian-n",50
"2179",0.2,12,"bayesian-n",50
"2180",0.2,11,"bayesian-n",50
"2181",0.2,11,"bayesian-n",50
"2182",0.2,10,"bayesian-n",50
"2183",0.2,11,"bayesian-n",50
"2184",0.2,10,"bayesian-n",50
"2185",0.2,10,"bayesian-n",50
"2186",0.2,12,"bayesian-n",50
"2187",0.2,10,"bayesian-n",50
"2188",0.2,10,"bayesian-n",50
"2189",0.2,10,"bayesian-n",50
"2190",0.2,10,"bayesian-n",50
"2191",0.2,10,"bayesian-n",50
"2192",0.2,11,"bayesian-n",50
"2193",0.2,12,"bayesian-n",50
"2194",0.2,11,"bayesian-n",50
"2195",0.2,10,"bayesian-n",50
"2196",0.2,11,"bayesian-n",50
"2197",0.2,10,"bayesian-n",50
"2198",0.2,9,"bayesian-n",50
"2199",0.2,9,"bayesian-n",50
"2200",0.2,10,"bayesian-n",50
"2201",0.2,10,"bayesian-n",50
"2202",0.2,9,"fiducial-n",100
"2203",0.2,10,"fiducial-n",100
"2204",0.2,10,"fiducial-n",100
"2205",0.2,9,"fiducial-n",100
"2206",0.2,9,"fiducial-n",100
"2207",0.2,10,"fiducial-n",100
"2208",0.2,11,"fiducial-n",100
"2209",0.2,10,"fiducial-n",100
"2210",0.2,10,"fiducial-n",100
"2211",0.2,9,"fiducial-n",100
"2212",0.2,10,"fiducial-n",100
"2213",0.2,11,"fiducial-n",100
"2214",0.2,10,"fiducial-n",100
"2215",0.2,10,"fiducial-n",100
"2216",0.2,11,"fiducial-n",100
"2217",0.2,9,"fiducial-n",100
"2218",0.2,10,"fiducial-n",100
"2219",0.2,10,"fiducial-n",100
"2220",0.2,10,"fiducial-n",100
"2221",0.2,11,"fiducial-n",100
"2222",0.2,10,"fiducial-n",100
"2223",0.2,10,"fiducial-n",100
"2224",0.2,10,"fiducial-n",100
"2225",0.2,10,"fiducial-n",100
"2226",0.2,10,"fiducial-n",100
"2227",0.2,10,"fiducial-n",100
"2228",0.2,9,"fiducial-n",100
"2229",0.2,9,"fiducial-n",100
"2230",0.2,9,"fiducial-n",100
"2231",0.2,9,"fiducial-n",100
"2232",0.2,10,"fiducial-n",100
"2233",0.2,10,"fiducial-n",100
"2234",0.2,9,"fiducial-n",100
"2235",0.2,10,"fiducial-n",100
"2236",0.2,9,"fiducial-n",100
"2237",0.2,9,"fiducial-n",100
"2238",0.2,10,"fiducial-n",100
"2239",0.2,10,"fiducial-n",100
"2240",0.2,10,"fiducial-n",100
"2241",0.2,9,"fiducial-n",100
"2242",0.2,10,"fiducial-n",100
"2243",0.2,10,"fiducial-n",100
"2244",0.2,9,"fiducial-n",100
"2245",0.2,11,"fiducial-n",100
"2246",0.2,9,"fiducial-n",100
"2247",0.2,10,"fiducial-n",100
"2248",0.2,9,"fiducial-n",100
"2249",0.2,9,"fiducial-n",100
"2250",0.2,10,"fiducial-n",100
"2251",0.2,10,"fiducial-n",100
"2252",0.2,9,"fiducial-n",100
"2253",0.2,9,"fiducial-n",100
"2254",0.2,10,"fiducial-n",100
"2255",0.2,10,"fiducial-n",100
"2256",0.2,9,"fiducial-n",100
"2257",0.2,11,"fiducial-n",100
"2258",0.2,9,"fiducial-n",100
"2259",0.2,10,"fiducial-n",100
"2260",0.2,9,"fiducial-n",100
"2261",0.2,11,"fiducial-n",100
"2262",0.2,10,"fiducial-n",100
"2263",0.2,10,"fiducial-n",100
"2264",0.2,9,"fiducial-n",100
"2265",0.2,11,"fiducial-n",100
"2266",0.2,9,"fiducial-n",100
"2267",0.2,9,"fiducial-n",100
"2268",0.2,10,"fiducial-n",100
"2269",0.2,9,"fiducial-n",100
"2270",0.2,10,"fiducial-n",100
"2271",0.2,10,"fiducial-n",100
"2272",0.2,10,"fiducial-n",100
"2273",0.2,10,"fiducial-n",100
"2274",0.2,9,"fiducial-n",100
"2275",0.2,10,"fiducial-n",100
"2276",0.2,9,"fiducial-n",100
"2277",0.2,10,"fiducial-n",100
"2278",0.2,10,"fiducial-n",100
"2279",0.2,9,"fiducial-n",100
"2280",0.2,10,"fiducial-n",100
"2281",0.2,11,"fiducial-n",100
"2282",0.2,10,"fiducial-n",100
"2283",0.2,10,"fiducial-n",100
"2284",0.2,9,"fiducial-n",100
"2285",0.2,9,"fiducial-n",100
"2286",0.2,9,"fiducial-n",100
"2287",0.2,10,"fiducial-n",100
"2288",0.2,10,"fiducial-n",100
"2289",0.2,11,"fiducial-n",100
"2290",0.2,10,"fiducial-n",100
"2291",0.2,10,"fiducial-n",100
"2292",0.2,10,"fiducial-n",100
"2293",0.2,9,"fiducial-n",100
"2294",0.2,9,"fiducial-n",100
"2295",0.2,10,"fiducial-n",100
"2296",0.2,10,"fiducial-n",100
"2297",0.2,10,"fiducial-n",100
"2298",0.2,11,"fiducial-n",100
"2299",0.2,10,"fiducial-n",100
"2300",0.2,10,"fiducial-n",100
"2301",0.2,10,"fiducial-n",100
"2302",0.2,10,"bayesian-n",100
"2303",0.2,10,"bayesian-n",100
"2304",0.2,10,"bayesian-n",100
"2305",0.2,10,"bayesian-n",100
"2306",0.2,10,"bayesian-n",100
"2307",0.2,11,"bayesian-n",100
"2308",0.2,10,"bayesian-n",100
"2309",0.2,9,"bayesian-n",100
"2310",0.2,9,"bayesian-n",100
"2311",0.2,11,"bayesian-n",100
"2312",0.2,10,"bayesian-n",100
"2313",0.2,10,"bayesian-n",100
"2314",0.2,11,"bayesian-n",100
"2315",0.2,10,"bayesian-n",100
"2316",0.2,10,"bayesian-n",100
"2317",0.2,10,"bayesian-n",100
"2318",0.2,9,"bayesian-n",100
"2319",0.2,9,"bayesian-n",100
"2320",0.2,11,"bayesian-n",100
"2321",0.2,10,"bayesian-n",100
"2322",0.2,10,"bayesian-n",100
"2323",0.2,11,"bayesian-n",100
"2324",0.2,10,"bayesian-n",100
"2325",0.2,9,"bayesian-n",100
"2326",0.2,10,"bayesian-n",100
"2327",0.2,11,"bayesian-n",100
"2328",0.2,10,"bayesian-n",100
"2329",0.2,10,"bayesian-n",100
"2330",0.2,10,"bayesian-n",100
"2331",0.2,10,"bayesian-n",100
"2332",0.2,11,"bayesian-n",100
"2333",0.2,9,"bayesian-n",100
"2334",0.2,9,"bayesian-n",100
"2335",0.2,10,"bayesian-n",100
"2336",0.2,10,"bayesian-n",100
"2337",0.2,10,"bayesian-n",100
"2338",0.2,9,"bayesian-n",100
"2339",0.2,10,"bayesian-n",100
"2340",0.2,10,"bayesian-n",100
"2341",0.2,9,"bayesian-n",100
"2342",0.2,10,"bayesian-n",100
"2343",0.2,11,"bayesian-n",100
"2344",0.2,11,"bayesian-n",100
"2345",0.2,10,"bayesian-n",100
"2346",0.2,10,"bayesian-n",100
"2347",0.2,10,"bayesian-n",100
"2348",0.2,10,"bayesian-n",100
"2349",0.2,10,"bayesian-n",100
"2350",0.2,9,"bayesian-n",100
"2351",0.2,10,"bayesian-n",100
"2352",0.2,10,"bayesian-n",100
"2353",0.2,9,"bayesian-n",100
"2354",0.2,9,"bayesian-n",100
"2355",0.2,10,"bayesian-n",100
"2356",0.2,10,"bayesian-n",100
"2357",0.2,9,"bayesian-n",100
"2358",0.2,10,"bayesian-n",100
"2359",0.2,10,"bayesian-n",100
"2360",0.2,9,"bayesian-n",100
"2361",0.2,10,"bayesian-n",100
"2362",0.2,10,"bayesian-n",100
"2363",0.2,9,"bayesian-n",100
"2364",0.2,10,"bayesian-n",100
"2365",0.2,9,"bayesian-n",100
"2366",0.2,9,"bayesian-n",100
"2367",0.2,10,"bayesian-n",100
"2368",0.2,10,"bayesian-n",100
"2369",0.2,10,"bayesian-n",100
"2370",0.2,10,"bayesian-n",100
"2371",0.2,11,"bayesian-n",100
"2372",0.2,9,"bayesian-n",100
"2373",0.2,10,"bayesian-n",100
"2374",0.2,10,"bayesian-n",100
"2375",0.2,9,"bayesian-n",100
"2376",0.2,10,"bayesian-n",100
"2377",0.2,10,"bayesian-n",100
"2378",0.2,11,"bayesian-n",100
"2379",0.2,10,"bayesian-n",100
"2380",0.2,9,"bayesian-n",100
"2381",0.2,10,"bayesian-n",100
"2382",0.2,10,"bayesian-n",100
"2383",0.2,9,"bayesian-n",100
"2384",0.2,10,"bayesian-n",100
"2385",0.2,10,"bayesian-n",100
"2386",0.2,10,"bayesian-n",100
"2387",0.2,10,"bayesian-n",100
"2388",0.2,10,"bayesian-n",100
"2389",0.2,11,"bayesian-n",100
"2390",0.2,10,"bayesian-n",100
"2391",0.2,10,"bayesian-n",100
"2392",0.2,9,"bayesian-n",100
"2393",0.2,11,"bayesian-n",100
"2394",0.2,9,"bayesian-n",100
"2395",0.2,10,"bayesian-n",100
"2396",0.2,10,"bayesian-n",100
"2397",0.2,10,"bayesian-n",100
"2398",0.2,9,"bayesian-n",100
"2399",0.2,9,"bayesian-n",100
"2400",0.2,10,"bayesian-n",100
"2401",0.2,10,"bayesian-n",100
"2402",0.4,10,"fiducial-n",10
"2403",0.4,8,"fiducial-n",10
"2404",0.4,9,"fiducial-n",10
"2405",0.4,8,"fiducial-n",10
"2406",0.4,9,"fiducial-n",10
"2407",0.4,10,"fiducial-n",10
"2408",0.4,9,"fiducial-n",10
"2409",0.4,10,"fiducial-n",10
"2410",0.4,9,"fiducial-n",10
"2411",0.4,10,"fiducial-n",10
"2412",0.4,9,"fiducial-n",10
"2413",0.4,9,"fiducial-n",10
"2414",0.4,9,"fiducial-n",10
"2415",0.4,9,"fiducial-n",10
"2416",0.4,9,"fiducial-n",10
"2417",0.4,10,"fiducial-n",10
"2418",0.4,12,"fiducial-n",10
"2419",0.4,9,"fiducial-n",10
"2420",0.4,7,"fiducial-n",10
"2421",0.4,10,"fiducial-n",10
"2422",0.4,9,"fiducial-n",10
"2423",0.4,9,"fiducial-n",10
"2424",0.4,10,"fiducial-n",10
"2425",0.4,9,"fiducial-n",10
"2426",0.4,8,"fiducial-n",10
"2427",0.4,9,"fiducial-n",10
"2428",0.4,10,"fiducial-n",10
"2429",0.4,15,"fiducial-n",10
"2430",0.4,9,"fiducial-n",10
"2431",0.4,10,"fiducial-n",10
"2432",0.4,9,"fiducial-n",10
"2433",0.4,10,"fiducial-n",10
"2434",0.4,9,"fiducial-n",10
"2435",0.4,10,"fiducial-n",10
"2436",0.4,9,"fiducial-n",10
"2437",0.4,11,"fiducial-n",10
"2438",0.4,11,"fiducial-n",10
"2439",0.4,9,"fiducial-n",10
"2440",0.4,9,"fiducial-n",10
"2441",0.4,10,"fiducial-n",10
"2442",0.4,7,"fiducial-n",10
"2443",0.4,8,"fiducial-n",10
"2444",0.4,10,"fiducial-n",10
"2445",0.4,12,"fiducial-n",10
"2446",0.4,10,"fiducial-n",10
"2447",0.4,9,"fiducial-n",10
"2448",0.4,8,"fiducial-n",10
"2449",0.4,8,"fiducial-n",10
"2450",0.4,11,"fiducial-n",10
"2451",0.4,10,"fiducial-n",10
"2452",0.4,10,"fiducial-n",10
"2453",0.4,11,"fiducial-n",10
"2454",0.4,10,"fiducial-n",10
"2455",0.4,9,"fiducial-n",10
"2456",0.4,9,"fiducial-n",10
"2457",0.4,10,"fiducial-n",10
"2458",0.4,9,"fiducial-n",10
"2459",0.4,9,"fiducial-n",10
"2460",0.4,10,"fiducial-n",10
"2461",0.4,11,"fiducial-n",10
"2462",0.4,9,"fiducial-n",10
"2463",0.4,9,"fiducial-n",10
"2464",0.4,10,"fiducial-n",10
"2465",0.4,10,"fiducial-n",10
"2466",0.4,10,"fiducial-n",10
"2467",0.4,8,"fiducial-n",10
"2468",0.4,9,"fiducial-n",10
"2469",0.4,10,"fiducial-n",10
"2470",0.4,9,"fiducial-n",10
"2471",0.4,9,"fiducial-n",10
