"","lower_p","upper_p","n_value","iteration_number"
"238",0.549987784553237,0.552054890766989,17,39
"239",0.658671038508338,0.660859611711892,16,40
"240",0.617322651150976,0.621707641408593,17,41
"241",0.57972159018561,0.581141118059935,17,42
"242",0.53097274631254,0.531810273565278,17,43
"243",0.456914536645475,0.457522709930213,17,44
"244",0.457989641705987,0.458255493374541,17,45
"245",0.477175729521321,0.478683211439427,17,46
"246",0.535886202006957,0.54045982061066,17,47
"247",0.50575226095445,0.508024701274267,18,48
"248",0.604121614436652,0.605404816810637,17,49
"249",0.604574674545743,0.605404816810637,17,50
"250",0.561529451544107,0.562831120141524,17,51
"251",0.530178710784482,0.531762904298046,18,52
"252",0.50257257573107,0.503726628109741,19,53
"253",0.556108872590421,0.556969894433373,18,54
"254",0.600828555886516,0.602278100659406,18,55
"255",0.638647128894772,0.639583907459759,17,56
"256",0.627598419794001,0.629404433460646,17,57
"257",0.628388310527387,0.629427340587827,17,58
"258",0.602257993624879,0.604971546304056,16,59
"259",0.566884689115542,0.568031976176557,16,60
"260",0.566884689115542,0.568031976176557,16,61
"261",0.550688602328086,0.55482786028305,16,62
"262",0.567249669361113,0.567541555502903,16,63
"263",0.539154993999521,0.540262677668973,15,64
"264",0.550892474894301,0.551753371551663,15,65
"265",0.526577664960752,0.530093002497862,16,66
"266",0.552045119247581,0.555306714134313,16,67
"267",0.522290398295505,0.52429027891635,17,68
"268",0.49226717821139,0.493035277833468,17,69
"269",0.620541032335868,0.62115906846308,15,70
"270",0.581472308761734,0.584793119084158,16,71
"271",0.495349497896244,0.497129282832951,16,72
"272",0.467934424746641,0.469135470171293,17,73
"273",0.477233466075172,0.480934155947166,17,74
"274",0.453110556582946,0.455722686774653,17,75
"275",0.440625395051398,0.441627563601686,17,76
"276",0.440630499064766,0.44072736839941,17,77
"277",0.442631302391062,0.444091680094126,17,78
"278",0.48863799418007,0.48911775759229,16,79
"33",0.442631302391062,0.444091680094126,17,79
"42",0.406841953412883,0.407663378177107,18,79
"279",0.48863799418007,0.488941274571585,16,80
"280",0.424514322379003,0.425409726315487,16,81
"281",0.452316415799321,0.452636337284563,16,82
"282",0.460353172640287,0.460881900012701,16,83
"283",0.418836052702388,0.41926706172999,16,84
"284",0.488816403803692,0.489380404880109,15,85
"285",0.522324339287131,0.52932806586126,15,86
"286",0.5292155735434,0.52932806586126,15,87
"287",0.529139927134837,0.52932806586126,15,88
"288",0.496066143820109,0.499088371743813,16,89
"289",0.481222742598668,0.483605793363951,16,90
"290",0.53433366326158,0.536684028214745,16,91
"291",0.533758733249694,0.5349299902454,16,92
"292",0.538963065417434,0.542600327600697,16,93
"293",0.479381279575219,0.479957361295319,16,94
"294",0.48585019933893,0.48809599100484,16,95
"295",0.486454764703659,0.48809599100484,16,96
"296",0.456957502268823,0.461062540391521,17,97
"297",0.552073539949088,0.553412498894518,16,98
"298",0.552073539949088,0.552227703634003,16,99
"299",0.552073539949088,0.552369232470831,16,100
"2100",0.551634651275104,0.552369232470831,16,101
"2101",0.635372689751111,0.640671198273709,15,102
"2102",0.74223119424179,0.744780048561831,15,103
"2103",0.696244292239635,0.700915429028218,16,104
"2104",0.709400445128487,0.711068839027606,16,105
"2105",0.730174699819494,0.731972815811986,16,106
"2106",0.807561774612121,0.807818641283902,16,107
"2107",0.770732081106447,0.77435979065545,16,108
"2108",0.831695892935037,0.832077585088763,16,109
"2109",0.809454964223178,0.812331823247195,16,110
"2110",0.863075030518115,0.865381039523257,15,111
"2111",0.86461767248072,0.865381039523257,15,112
"2112",0.910504146014757,0.911534452105716,15,113
"2113",0.871857060575471,0.875274875168246,15,114
"2114",0.943081020923659,0.944183698670969,15,115
"2115",0.943424933182859,0.944183698670969,15,116
"2116",0.945616814295946,0.945792737014189,15,117
"2117",0.989673691199295,0.990760423650875,15,118
"2118",0.849670541184098,0.850624060222019,15,119
"2119",0.880245392961434,0.882972515107338,15,120
"2120",0.917630193355466,0.922684751690047,15,121
"2121",0.957648615456086,0.961036698393514,15,122
"2122",0.895533880412382,0.89851508652284,16,123
"2123",0.953724692046437,0.957151859473693,16,124
